city,eiu_region,year,value
Abidjan,Middle East & Africa,2019,53
Muscat,Middle East & Africa,2019,53
Belgrade,Eastern Europe,2019,53
Tehran,Middle East & Africa,2019,52
Cairo,Middle East & Africa,2019,52
St Petersburg,Eastern Europe,2019,52
Riyadh,Middle East & Africa,2019,52
Casablanca,Middle East & Africa,2019,52
Sofia,Eastern Europe,2019,52
Johannesburg,Middle East & Africa,2019,51
Budapest,Eastern Europe,2019,51
Dakar,Middle East & Africa,2019,51
Panama city,Latin America & the Caribbean,2019,50
Pretoria,Middle East & Africa,2019,48
Kathmandu,Asia & Australasia,2019,47
Mumbai,Asia & Australasia,2019,46
Colombo,Asia & Australasia,2019,46
Asunción,Latin America & the Caribbean,2019,45
Bucharest,Eastern Europe,2019,43
Lagos,Middle East & Africa,2019,42
Algiers,Middle East & Africa,2019,42
New Delhi,Asia & Australasia,2019,42
Bangalore,Asia & Australasia,2019,40
Chennai,Asia & Australasia,2019,39
Lusaka,Middle East & Africa,2019,38
Caracas,Latin America & the Caribbean,2019,36
Karachi,Asia & Australasia,2019,35
Buenos Aires,Latin America & the Caribbean,2019,35
Almaty,Eastern Europe,2019,34
Tashkent,Eastern Europe,2019,30
Damascus,Middle East & Africa,2019,25
Singapore,Asia & Australasia,2018,107
New York,North America,2018,100
Tel Aviv,Middle East & Africa,2018,99
Hong Kong,Asia & Australasia,2018,107
Los Angeles,North America,2018,99
Zurich,Western Europe,2018,106
Geneva,Western Europe,2018,101
San Francisco,North America,2018,85
Paris,Western Europe,2018,107
Copenhagen,Western Europe,2018,100
Sydney,Asia & Australasia,2018,89
Houston,North America,2018,82
Oslo,Western Europe,2018,98
Minneapolis,North America,2018,87
Melbourne,Asia & Australasia,2018,86
Seattle,North America,2018,79
Seoul,Asia & Australasia,2018,100
Shanghai,Asia & Australasia,2018,85
Amman,Middle East & Africa,2018,85
Shenzhen,Asia & Australasia,2018,85
"Washington, DC",North America,2018,81
Boston,North America,2018,75
Vienna,Western Europe,2018,91
Vancouver,North America,2018,77
Pittsburgh,North America,2018,77
Chicago,North America,2018,79
Helsinki,Western Europe,2018,89
London,Western Europe,2018,86
Dublin,Western Europe,2018,88
Frankfurt,Western Europe,2018,89
Milan,Western Europe,2018,86
Brisbane,Asia & Australasia,2018,78
Beijing,Asia & Australasia,2018,76
Reykjavik,Western Europe,2018,90
Dalian,Asia & Australasia,2018,77
Tokyo,Asia & Australasia,2018,96
Wellington,Asia & Australasia,2018,78
Auckland,Asia & Australasia,2018,79
Adelaide,Asia & Australasia,2018,75
Honolulu,North America,2018,74
Moscow,Eastern Europe,2018,55
Osaka,Asia & Australasia,2018,101
Munich,Western Europe,2018,83
Mexico city,Latin America & the Caribbean,2018,72
Hamburg,Western Europe,2018,82
Atlanta,North America,2018,66
Barcelona,Western Europe,2018,81
Madrid,Western Europe,2018,80
Amsterdam,Western Europe,2018,78
Düsseldorf,Western Europe,2018,81
Abu Dhabi,Middle East & Africa,2018,76
Lexington,North America,2018,70
Miami,North America,2018,71
Cleveland,North America,2018,68
Nouméa,Asia & Australasia,2018,87
Brussels,Western Europe,2018,80
Taipei,Asia & Australasia,2018,73
Montreal,North America,2018,68
Tianjin,Asia & Australasia,2018,69
Manchester,Western Europe,2018,75
Rome,Western Europe,2018,81
Berlin,Western Europe,2018,77
Suzhou,Asia & Australasia,2018,67
Guangzhou,Asia & Australasia,2018,68
Perth,Asia & Australasia,2018,69
Detroit,North America,2018,68
St Petersburg,Eastern Europe,2018,50
Hanoi,Asia & Australasia,2018,71
Phnom Penh,Asia & Australasia,2018,66
Bangkok,Asia & Australasia,2018,78
Guatemala city,Latin America & the Caribbean,2018,67
Lyon,Western Europe,2018,75
Qingdao,Asia & Australasia,2018,67
Dubai,Middle East & Africa,2018,72
Montevideo,Latin America & the Caribbean,2018,67
Lima,Latin America & the Caribbean,2018,66
Stockholm,Western Europe,2018,73
Dhaka,Asia & Australasia,2018,68
Ho Chi Minh city,Asia & Australasia,2018,65
Luxembourg,Western Europe,2018,71
Toronto,North America,2018,60
Nairobi,Middle East & Africa,2018,69
Quito,Latin America & the Caribbean,2018,63
Bahrain,Middle East & Africa,2018,61
San José,Latin America & the Caribbean,2018,63
Prague,Eastern Europe,2018,63
Santiago,Latin America & the Caribbean,2018,66
Jakarta,Asia & Australasia,2018,57
Doha,Middle East & Africa,2018,57
Athens,Western Europe,2018,64
Jeddah,Middle East & Africa,2018,56
Lisbon,Western Europe,2018,63
Manila,Asia & Australasia,2018,57
Kuala Lumpur,Asia & Australasia,2018,59
Bandar Seri Begawan,Asia & Australasia,2018,58
Riyadh,Middle East & Africa,2018,54
Kuwait city,Middle East & Africa,2018,57
Muscat,Middle East & Africa,2018,57
Al Khobar,Middle East & Africa,2018,55
Warsaw,Eastern Europe,2018,57
Abidjan,Middle East & Africa,2018,56
Belgrade,Eastern Europe,2018,57
Sofia,Eastern Europe,2018,58
Rio de Janeiro,Latin America & the Caribbean,2018,52
São Paulo,Latin America & the Caribbean,2018,53
Panama city,Latin America & the Caribbean,2018,52
Casablanca,Middle East & Africa,2018,57
Cairo,Middle East & Africa,2018,49
Dakar,Middle East & Africa,2018,55
Johannesburg,Middle East & Africa,2018,50
Lagos,Middle East & Africa,2018,40
Bogotá,Latin America & the Caribbean,2018,59
Mumbai,Asia & Australasia,2018,45
Asunción,Latin America & the Caribbean,2018,49
Budapest,Eastern Europe,2018,54
Pretoria,Middle East & Africa,2018,47
Kathmandu,Asia & Australasia,2018,48
Buenos Aires,Latin America & the Caribbean,2018,41
Bucharest,Eastern Europe,2018,47
Lusaka,Middle East & Africa,2018,49
Istanbul,Eastern Europe,2018,46
New Delhi,Asia & Australasia,2018,43
Caracas,Latin America & the Caribbean,2018,15
Colombo,Asia & Australasia,2018,51
Kyiv,Eastern Europe,2018,52
Bangalore,Asia & Australasia,2018,39
Algiers,Middle East & Africa,2018,43
Chennai,Asia & Australasia,2018,41
Almaty,Eastern Europe,2018,35
Karachi,Asia & Australasia,2018,40
Tashkent,Eastern Europe,2018,33
Tehran,Middle East & Africa,2018,46
Damascus,Middle East & Africa,2018,25
Singapore,Asia & Australasia,2017,116
New York,North America,2017,100
Tel Aviv,Middle East & Africa,2017,103
Hong Kong,Asia & Australasia,2017,111
Los Angeles,North America,2017,99
Zurich,Western Europe,2017,112
Geneva,Western Europe,2017,106
San Francisco,North America,2017,84
Paris,Western Europe,2017,112
Copenhagen,Western Europe,2017,105
Sydney,Asia & Australasia,2017,102
Houston,North America,2017,83
Oslo,Western Europe,2017,107
Minneapolis,North America,2017,88
Melbourne,Asia & Australasia,2017,99
Seattle,North America,2017,80
Seoul,Asia & Australasia,2017,106
Shanghai,Asia & Australasia,2017,92
Amman,Middle East & Africa,2017,87
Shenzhen,Asia & Australasia,2017,90
"Washington, DC",North America,2017,84
Boston,North America,2017,75
Vienna,Western Europe,2017,96
Vancouver,North America,2017,83
Pittsburgh,North America,2017,79
Chicago,North America,2017,83
Helsinki,Western Europe,2017,95
London,Western Europe,2017,86
Dublin,Western Europe,2017,93
Frankfurt,Western Europe,2017,93
Milan,Western Europe,2017,91
Brisbane,Asia & Australasia,2017,88
Beijing,Asia & Australasia,2017,80
Reykjavik,Western Europe,2017,99
Dalian,Asia & Australasia,2017,83
Tokyo,Asia & Australasia,2017,101
Wellington,Asia & Australasia,2017,89
Auckland,Asia & Australasia,2017,89
Adelaide,Asia & Australasia,2017,86
Honolulu,North America,2017,77
Moscow,Eastern Europe,2017,66
Osaka,Asia & Australasia,2017,101
Munich,Western Europe,2017,86
Mexico city,Latin America & the Caribbean,2017,74
Hamburg,Western Europe,2017,87
Atlanta,North America,2017,69
Barcelona,Western Europe,2017,85
Madrid,Western Europe,2017,85
Amsterdam,Western Europe,2017,81
Düsseldorf,Western Europe,2017,85
Abu Dhabi,Middle East & Africa,2017,73
Lexington,North America,2017,72
Miami,North America,2017,74
Cleveland,North America,2017,70
Nouméa,Asia & Australasia,2017,77
Brussels,Western Europe,2017,84
Taipei,Asia & Australasia,2017,77
Montreal,North America,2017,74
Tianjin,Asia & Australasia,2017,72
Manchester,Western Europe,2017,75
Rome,Western Europe,2017,86
Berlin,Western Europe,2017,80
Suzhou,Asia & Australasia,2017,71
Guangzhou,Asia & Australasia,2017,73
Perth,Asia & Australasia,2017,80
Detroit,North America,2017,70
St Petersburg,Eastern Europe,2017,60
Hanoi,Asia & Australasia,2017,72
Phnom Penh,Asia & Australasia,2017,67
Bangkok,Asia & Australasia,2017,79
Guatemala city,Latin America & the Caribbean,2017,72
Lyon,Western Europe,2017,78
Qingdao,Asia & Australasia,2017,73
Dubai,Middle East & Africa,2017,72
Montevideo,Latin America & the Caribbean,2017,73
Lima,Latin America & the Caribbean,2017,68
Stockholm,Western Europe,2017,84
Dhaka,Asia & Australasia,2017,71
Ho Chi Minh city,Asia & Australasia,2017,67
Luxembourg,Western Europe,2017,75
Toronto,North America,2017,66
Nairobi,Middle East & Africa,2017,69
Quito,Latin America & the Caribbean,2017,65
Bahrain,Middle East & Africa,2017,63
San José,Latin America & the Caribbean,2017,65
Prague,Eastern Europe,2017,67
Santiago,Latin America & the Caribbean,2017,72
Jakarta,Asia & Australasia,2017,65
Doha,Middle East & Africa,2017,59
Athens,Western Europe,2017,66
Jeddah,Middle East & Africa,2017,57
Lisbon,Western Europe,2017,66
Manila,Asia & Australasia,2017,59
Kuala Lumpur,Asia & Australasia,2017,60
Bandar Seri Begawan,Asia & Australasia,2017,62
Riyadh,Middle East & Africa,2017,52
Kuwait city,Middle East & Africa,2017,59
Muscat,Middle East & Africa,2017,57
Al Khobar,Middle East & Africa,2017,57
Warsaw,Eastern Europe,2017,62
Abidjan,Middle East & Africa,2017,61
Belgrade,Eastern Europe,2017,60
Sofia,Eastern Europe,2017,51
Rio de Janeiro,Latin America & the Caribbean,2017,67
São Paulo,Latin America & the Caribbean,2017,69
Panama city,Latin America & the Caribbean,2017,54
Casablanca,Middle East & Africa,2017,54
Cairo,Middle East & Africa,2017,49
Dakar,Middle East & Africa,2017,58
Johannesburg,Middle East & Africa,2017,58
Lagos,Middle East & Africa,2017,40
Bogotá,Latin America & the Caribbean,2017,63
Mumbai,Asia & Australasia,2017,49
Asunción,Latin America & the Caribbean,2017,51
Budapest,Eastern Europe,2017,59
Pretoria,Middle East & Africa,2017,55
Kathmandu,Asia & Australasia,2017,53
Buenos Aires,Latin America & the Caribbean,2017,69
Bucharest,Eastern Europe,2017,48
Lusaka,Middle East & Africa,2017,52
Istanbul,Eastern Europe,2017,71
New Delhi,Asia & Australasia,2017,48
Caracas,Latin America & the Caribbean,2017,33
Colombo,Asia & Australasia,2017,54
Bangalore,Asia & Australasia,2017,44
Algiers,Middle East & Africa,2017,46
Chennai,Asia & Australasia,2017,47
Almaty,Eastern Europe,2017,38
Karachi,Asia & Australasia,2017,46
Tashkent,Eastern Europe,2017,54
Tehran,Middle East & Africa,2017,49
Damascus,Middle East & Africa,2017,26
Tel Aviv,Middle East & Africa,2016,99
Paris,Western Europe,2016,107
Singapore,Asia & Australasia,2016,120
Zurich,Western Europe,2016,113
Hong Kong,Asia & Australasia,2016,114
New York,North America,2016,100
Geneva,Western Europe,2016,107
Copenhagen,Western Europe,2016,100
Los Angeles,North America,2016,99
Osaka,Asia & Australasia,2016,109
Oslo,Western Europe,2016,99
Seoul,Asia & Australasia,2016,108
Tokyo,Asia & Australasia,2016,110
Vienna,Western Europe,2016,91
Sydney,Asia & Australasia,2016,98
Melbourne,Asia & Australasia,2016,95
Helsinki,Western Europe,2016,92
London,Western Europe,2016,89
Dublin,Western Europe,2016,88
Frankfurt,Western Europe,2016,90
Shanghai,Asia & Australasia,2016,92
Milan,Western Europe,2016,85
Shenzhen,Asia & Australasia,2016,91
San Francisco,North America,2016,83
Munich,Western Europe,2016,82
Wellington,Asia & Australasia,2016,92
Minneapolis,North America,2016,88
Auckland,Asia & Australasia,2016,92
Houston,North America,2016,82
Hamburg,Western Europe,2016,83
Tehran,Middle East & Africa,2016,50
Amman,Middle East & Africa,2016,85
Barcelona,Western Europe,2016,81
Nouméa,Asia & Australasia,2016,81
Madrid,Western Europe,2016,80
Brussels,Western Europe,2016,81
Brisbane,Asia & Australasia,2016,84
Beijing,Asia & Australasia,2016,79
Reykjavik,Western Europe,2016,92
Amsterdam,Western Europe,2016,75
Düsseldorf,Western Europe,2016,81
"Washington, DC",North America,2016,86
Seattle,North America,2016,80
Manchester,Western Europe,2016,77
Vancouver,North America,2016,81
Dalian,Asia & Australasia,2016,83
Adelaide,Asia & Australasia,2016,82
Rome,Western Europe,2016,82
Boston,North America,2016,74
Pittsburgh,North America,2016,79
Berlin,Western Europe,2016,77
Taipei,Asia & Australasia,2016,75
Chicago,North America,2016,86
Lyon,Western Europe,2016,75
Stockholm,Western Europe,2016,80
Tianjin,Asia & Australasia,2016,71
Bangkok,Asia & Australasia,2016,77
Abu Dhabi,Middle East & Africa,2016,72
Honolulu,North America,2016,78
Luxembourg,Western Europe,2016,72
Suzhou,Asia & Australasia,2016,71
Montreal,North America,2016,72
Guangzhou,Asia & Australasia,2016,71
Perth,Asia & Australasia,2016,78
Hanoi,Asia & Australasia,2016,73
Mexico city,Latin America & the Caribbean,2016,66
Lexington,North America,2016,73
Miami,North America,2016,76
Cleveland,North America,2016,70
Qingdao,Asia & Australasia,2016,73
Atlanta,North America,2016,69
Dhaka,Asia & Australasia,2016,72
Phnom Penh,Asia & Australasia,2016,67
Dubai,Middle East & Africa,2016,72
Ho Chi Minh city,Asia & Australasia,2016,67
Detroit,North America,2016,71
Guatemala city,Latin America & the Caribbean,2016,71
Nairobi,Middle East & Africa,2016,69
Lisbon,Western Europe,2016,64
Toronto,North America,2016,65
Prague,Eastern Europe,2016,62
Athens,Western Europe,2016,63
Santiago,Latin America & the Caribbean,2016,65
Manila,Asia & Australasia,2016,63
Quito,Latin America & the Caribbean,2016,66
Bahrain,Middle East & Africa,2016,65
Montevideo,Latin America & the Caribbean,2016,72
Lima,Latin America & the Caribbean,2016,65
Jakarta,Asia & Australasia,2016,66
Kyiv,Eastern Europe,2016,47
San José,Latin America & the Caribbean,2016,67
Kuala Lumpur,Asia & Australasia,2016,61
Warsaw,Eastern Europe,2016,58
Abidjan,Middle East & Africa,2016,59
Belgrade,Eastern Europe,2016,55
Doha,Middle East & Africa,2016,59
Jeddah,Middle East & Africa,2016,58
Bandar Seri Begawan,Asia & Australasia,2016,63
Moscow,Eastern Europe,2016,60
Cairo,Middle East & Africa,2016,59
Kuwait city,Middle East & Africa,2016,59
Sofia,Eastern Europe,2016,54
Casablanca,Middle East & Africa,2016,57
Muscat,Middle East & Africa,2016,58
Riyadh,Middle East & Africa,2016,54
Dakar,Middle East & Africa,2016,56
Budapest,Eastern Europe,2016,56
Johannesburg,Middle East & Africa,2016,51
Al Khobar,Middle East & Africa,2016,58
Pretoria,Middle East & Africa,2016,48
Bogotá,Latin America & the Caribbean,2016,61
St Petersburg,Eastern Europe,2016,54
Panama city,Latin America & the Caribbean,2016,54
Istanbul,Eastern Europe,2016,72
Mumbai,Asia & Australasia,2016,45
Kathmandu,Asia & Australasia,2016,51
Rio de Janeiro,Latin America & the Caribbean,2016,65
São Paulo,Latin America & the Caribbean,2016,67
Bucharest,Eastern Europe,2016,47
Colombo,Asia & Australasia,2016,56
Lagos,Middle East & Africa,2016,39
New Delhi,Asia & Australasia,2016,47
Asunción,Latin America & the Caribbean,2016,51
Bangalore,Asia & Australasia,2016,42
Chennai,Asia & Australasia,2016,45
Caracas,Latin America & the Caribbean,2016,50
Buenos Aires,Latin America & the Caribbean,2016,66
Lusaka,Middle East & Africa,2016,49
Algiers,Middle East & Africa,2016,45
Karachi,Asia & Australasia,2016,44
Almaty,Eastern Europe,2016,38
Tashkent,Eastern Europe,2016,68
Damascus,Middle East & Africa,2016,50
Osaka,Asia & Australasia,2015,95
Singapore,Asia & Australasia,2015,116
Hong Kong,Asia & Australasia,2015,114
New York,North America,2015,100
Zurich,Western Europe,2015,114
Paris,Western Europe,2015,107
Tel Aviv,Middle East & Africa,2015,95
Tokyo,Asia & Australasia,2015,97
Los Angeles,North America,2015,99
Geneva,Western Europe,2015,108
Copenhagen,Western Europe,2015,99
Oslo,Western Europe,2015,96
Seoul,Asia & Australasia,2015,99
Minneapolis,North America,2015,87
San Francisco,North America,2015,82
Vienna,Western Europe,2015,91
Amman,Middle East & Africa,2015,84
Sydney,Asia & Australasia,2015,90
Helsinki,Western Europe,2015,93
Frankfurt,Western Europe,2015,91
Houston,North America,2015,83
Dublin,Western Europe,2015,87
Shanghai,Asia & Australasia,2015,97
Melbourne,Asia & Australasia,2015,88
London,Western Europe,2015,101
Bangkok,Asia & Australasia,2015,73
Shenzhen,Asia & Australasia,2015,94
Milan,Western Europe,2015,85
Reykjavik,Western Europe,2015,84
"Washington, DC",North America,2015,86
Munich,Western Europe,2015,83
Nouméa,Asia & Australasia,2015,80
Boston,North America,2015,74
Seattle,North America,2015,80
Chicago,North America,2015,88
Vancouver,North America,2015,77
Pittsburgh,North America,2015,79
Barcelona,Western Europe,2015,81
Hamburg,Western Europe,2015,82
Wellington,Asia & Australasia,2015,80
Auckland,Asia & Australasia,2015,81
Madrid,Western Europe,2015,81
Abu Dhabi,Middle East & Africa,2015,74
Amsterdam,Western Europe,2015,74
Brisbane,Asia & Australasia,2015,77
Brussels,Western Europe,2015,81
Rome,Western Europe,2015,82
Düsseldorf,Western Europe,2015,82
Beijing,Asia & Australasia,2015,83
Dalian,Asia & Australasia,2015,88
Honolulu,North America,2015,79
Manchester,Western Europe,2015,86
Adelaide,Asia & Australasia,2015,75
Berlin,Western Europe,2015,78
Hanoi,Asia & Australasia,2015,73
Mexico city,Latin America & the Caribbean,2015,69
Lyon,Western Europe,2015,75
Lexington,North America,2015,73
Miami,North America,2015,77
Dubai,Middle East & Africa,2015,71
Stockholm,Western Europe,2015,80
Taipei,Asia & Australasia,2015,72
Atlanta,North America,2015,69
Lima,Latin America & the Caribbean,2015,66
Montreal,North America,2015,70
Cleveland,North America,2015,69
Dhaka,Asia & Australasia,2015,70
Nairobi,Middle East & Africa,2015,67
Tianjin,Asia & Australasia,2015,74
Luxembourg,Western Europe,2015,72
Phnom Penh,Asia & Australasia,2015,67
Suzhou,Asia & Australasia,2015,75
Detroit,North America,2015,71
Ho Chi Minh city,Asia & Australasia,2015,66
Santiago,Latin America & the Caribbean,2015,61
Guangzhou,Asia & Australasia,2015,74
Perth,Asia & Australasia,2015,74
Guatemala city,Latin America & the Caribbean,2015,71
Qingdao,Asia & Australasia,2015,76
San José,Latin America & the Caribbean,2015,69
Quito,Latin America & the Caribbean,2015,66
Bahrain,Middle East & Africa,2015,63
Montevideo,Latin America & the Caribbean,2015,68
Jakarta,Asia & Australasia,2015,61
Toronto,North America,2015,62
Kyiv,Eastern Europe,2015,48
Moscow,Eastern Europe,2015,53
Lisbon,Western Europe,2015,64
Athens,Western Europe,2015,64
Manila,Asia & Australasia,2015,62
Kuala Lumpur,Asia & Australasia,2015,57
Prague,Eastern Europe,2015,62
Doha,Middle East & Africa,2015,60
Kuwait city,Middle East & Africa,2015,59
Bandar Seri Begawan,Asia & Australasia,2015,59
Istanbul,Eastern Europe,2015,67
Rio de Janeiro,Latin America & the Caribbean,2015,53
São Paulo,Latin America & the Caribbean,2015,55
Jeddah,Middle East & Africa,2015,57
Warsaw,Eastern Europe,2015,59
Bogotá,Latin America & the Caribbean,2015,55
Al Khobar,Middle East & Africa,2015,59
Abidjan,Middle East & Africa,2015,59
Muscat,Middle East & Africa,2015,57
Belgrade,Eastern Europe,2015,56
Tehran,Middle East & Africa,2015,48
Cairo,Middle East & Africa,2015,61
St Petersburg,Eastern Europe,2015,48
Riyadh,Middle East & Africa,2015,55
Casablanca,Middle East & Africa,2015,57
Sofia,Eastern Europe,2015,54
Johannesburg,Middle East & Africa,2015,50
Budapest,Eastern Europe,2015,55
Dakar,Middle East & Africa,2015,56
Panama city,Latin America & the Caribbean,2015,54
Pretoria,Middle East & Africa,2015,47
Kathmandu,Asia & Australasia,2015,48
Mumbai,Asia & Australasia,2015,43
Colombo,Asia & Australasia,2015,57
Asunción,Latin America & the Caribbean,2015,51
Bucharest,Eastern Europe,2015,47
Lagos,Middle East & Africa,2015,50
Algiers,Middle East & Africa,2015,44
New Delhi,Asia & Australasia,2015,45
Bangalore,Asia & Australasia,2015,42
Chennai,Asia & Australasia,2015,44
Lusaka,Middle East & Africa,2015,41
Caracas,Latin America & the Caribbean,2015,46
Karachi,Asia & Australasia,2015,44
Buenos Aires,Latin America & the Caribbean,2015,73
Almaty,Eastern Europe,2015,44
Tashkent,Eastern Europe,2015,63
Damascus,Middle East & Africa,2015,46
Nairobi,Middle East & Africa,2014,69
Abidjan,Middle East & Africa,2014,61
Dakar,Middle East & Africa,2014,58
Johannesburg,Middle East & Africa,2014,58
Lusaka,Middle East & Africa,2014,52
Pretoria,Middle East & Africa,2014,55
Lagos,Middle East & Africa,2014,40
Singapore,Asia & Australasia,2014,116
Hong Kong,Asia & Australasia,2014,111
Osaka,Asia & Australasia,2014,101
Seoul,Asia & Australasia,2014,106
Tokyo,Asia & Australasia,2014,101
Sydney,Asia & Australasia,2014,102
Nouméa,Asia & Australasia,2014,77
Melbourne,Asia & Australasia,2014,99
Shanghai,Asia & Australasia,2014,92
Shenzhen,Asia & Australasia,2014,90
Auckland,Asia & Australasia,2014,89
Brisbane,Asia & Australasia,2014,88
Bangkok,Asia & Australasia,2014,79
Wellington,Asia & Australasia,2014,89
Dalian,Asia & Australasia,2014,83
Beijing,Asia & Australasia,2014,80
Adelaide,Asia & Australasia,2014,86
Taipei,Asia & Australasia,2014,77
Hanoi,Asia & Australasia,2014,72
Tianjin,Asia & Australasia,2014,72
Perth,Asia & Australasia,2014,80
Guangzhou,Asia & Australasia,2014,73
Dhaka,Asia & Australasia,2014,71
Qingdao,Asia & Australasia,2014,73
Suzhou,Asia & Australasia,2014,71
Phnom Penh,Asia & Australasia,2014,67
Ho Chi Minh city,Asia & Australasia,2014,67
Kuala Lumpur,Asia & Australasia,2014,60
Bandar Seri Begawan,Asia & Australasia,2014,62
Jakarta,Asia & Australasia,2014,65
Manila,Asia & Australasia,2014,59
Colombo,Asia & Australasia,2014,54
Kathmandu,Asia & Australasia,2014,53
Mumbai,Asia & Australasia,2014,49
New Delhi,Asia & Australasia,2014,48
Chennai,Asia & Australasia,2014,47
Karachi,Asia & Australasia,2014,46
Bangalore,Asia & Australasia,2014,44
Prague,Eastern Europe,2014,62
Sofia,Eastern Europe,2014,51
Warsaw,Eastern Europe,2014,62
Belgrade,Eastern Europe,2014,60
Moscow,Eastern Europe,2014,66
Budapest,Eastern Europe,2014,59
Kyiv,Eastern Europe,2014,55
St Petersburg,Eastern Europe,2014,60
Bucharest,Eastern Europe,2014,48
Istanbul,Eastern Europe,2014,71
Almaty,Eastern Europe,2014,38
Tashkent,Eastern Europe,2014,54
Mexico city,Latin America & the Caribbean,2014,74
Montevideo,Latin America & the Caribbean,2014,73
Guatemala city,Latin America & the Caribbean,2014,72
Santiago,Latin America & the Caribbean,2014,72
Lima,Latin America & the Caribbean,2014,68
San José,Latin America & the Caribbean,2014,65
Quito,Latin America & the Caribbean,2014,65
Bogotá,Latin America & the Caribbean,2014,63
São Paulo,Latin America & the Caribbean,2014,69
Rio de Janeiro,Latin America & the Caribbean,2014,67
Panama city,Latin America & the Caribbean,2014,54
Asunción,Latin America & the Caribbean,2014,51
Buenos Aires,Latin America & the Caribbean,2014,69
Caracas,Latin America & the Caribbean,2014,33
Tel Aviv,Middle East & Africa,2014,103
Amman,Middle East & Africa,2014,87
Abu Dhabi,Middle East & Africa,2014,73
Dubai,Middle East & Africa,2014,72
Bahrain,Middle East & Africa,2014,63
Casablanca,Middle East & Africa,2014,54
Muscat,Middle East & Africa,2014,57
Doha,Middle East & Africa,2014,59
Kuwait city,Middle East & Africa,2014,59
Jeddah,Middle East & Africa,2014,57
Al Khobar,Middle East & Africa,2014,57
Riyadh,Middle East & Africa,2014,52
Cairo,Middle East & Africa,2014,49
Tehran,Middle East & Africa,2014,49
Algiers,Middle East & Africa,2014,46
Damascus,Middle East & Africa,2014,26
New York,North America,2014,100
Los Angeles,North America,2014,99
Minneapolis,North America,2014,88
San Francisco,North America,2014,84
Houston,North America,2014,83
"Washington, DC",North America,2014,84
Chicago,North America,2014,83
Seattle,North America,2014,80
Vancouver,North America,2014,83
Pittsburgh,North America,2014,79
Boston,North America,2014,75
Honolulu,North America,2014,77
Miami,North America,2014,74
Lexington,North America,2014,72
Montreal,North America,2014,74
Detroit,North America,2014,70
Cleveland,North America,2014,70
Atlanta,North America,2014,69
Toronto,North America,2014,66
Paris,Western Europe,2014,112
Zurich,Western Europe,2014,112
Geneva,Western Europe,2014,106
Copenhagen,Western Europe,2014,105
Oslo,Western Europe,2014,107
Vienna,Western Europe,2014,96
Reykjavik,Western Europe,2014,99
Helsinki,Western Europe,2014,95
Frankfurt,Western Europe,2014,93
Dublin,Western Europe,2014,93
Milan,Western Europe,2014,91
London,Western Europe,2014,86
Munich,Western Europe,2014,86
Hamburg,Western Europe,2014,87
Rome,Western Europe,2014,86
Düsseldorf,Western Europe,2014,85
Barcelona,Western Europe,2014,85
Madrid,Western Europe,2014,85
Brussels,Western Europe,2014,84
Amsterdam,Western Europe,2014,81
Berlin,Western Europe,2014,80
Lyon,Western Europe,2014,78
Manchester,Western Europe,2014,75
Stockholm,Western Europe,2014,84
Luxembourg,Western Europe,2014,75
Athens,Western Europe,2014,66
Lisbon,Western Europe,2014,66
