city,eiu_region,year,value
Tehran,Middle East & Africa,2023,20
Damascus,Middle East & Africa,2023,13
Zurich,Western Europe,2022,94
Singapore,Asia & Australasia,2022,100
Geneva,Western Europe,2022,91
New York,North America,2022,100
Hong Kong,Asia & Australasia,2022,98
Los Angeles,North America,2022,98
Paris,Western Europe,2022,84
Tel Aviv,Middle East & Africa,2022,99
Copenhagen,Western Europe,2022,83
San Francisco,North America,2022,85
Vienna,Western Europe,2022,77
London,Western Europe,2022,75
Frankfurt,Western Europe,2022,75
Dublin,Western Europe,2022,75
Seoul,Asia & Australasia,2022,79
Mexico city,Latin America & the Caribbean,2022,71
Helsinki,Western Europe,2022,75
Reykjavik,Western Europe,2022,73
Houston,North America,2022,82
Seattle,North America,2022,80
Sydney,Asia & Australasia,2022,83
Minneapolis,North America,2022,82
San Diego,North America,2022,79
Milan,Western Europe,2022,74
"Washington, DC",North America,2022,78
Amman,Middle East & Africa,2022,79
Munich,Western Europe,2022,71
Boston,North America,2022,78
Melbourne,Asia & Australasia,2022,81
Pittsburgh,North America,2022,77
Oslo,Western Europe,2022,82
Hamburg,Western Europe,2022,70
Chicago,North America,2022,76
Vancouver,North America,2022,77
Edinburgh,Western Europe,2022,70
Barcelona,Western Europe,2022,69
Madrid,Western Europe,2022,69
Amsterdam,Western Europe,2022,69
Stuttgart,Western Europe,2022,68
Shanghai,Asia & Australasia,2022,79
Düsseldorf,Western Europe,2022,69
Nouméa,Asia & Australasia,2022,68
Brussels,Western Europe,2022,68
Manchester,Western Europe,2022,66
Berlin,Western Europe,2022,66
Shenzhen,Asia & Australasia,2022,78
Honolulu,North America,2022,72
Wellington,Asia & Australasia,2022,72
Auckland,Asia & Australasia,2022,72
Rome,Western Europe,2022,66
Santiago de Querétaro,Latin America & the Caribbean,2022,61
Miami,North America,2022,69
Saipan,North America,2022,70
Adelaide,Asia & Australasia,2022,72
Brisbane,Asia & Australasia,2022,74
Portland,North America,2022,70
Atlanta,North America,2022,70
Abu Dhabi,Middle East & Africa,2022,69
Charlotte,North America,2022,69
Lexington,North America,2022,69
Cleveland,North America,2022,69
Fort Lee,North America,2022,69
Indianapolis,North America,2022,69
Detroit,North America,2022,66
Lyon,Western Europe,2022,63
Tokyo,Asia & Australasia,2022,72
Beijing,Asia & Australasia,2022,73
Dalian,Asia & Australasia,2022,73
Montevideo,Latin America & the Caribbean,2022,62
Bangkok,Asia & Australasia,2022,64
San José,Latin America & the Caribbean,2022,58
Osaka,Asia & Australasia,2022,71
San Juan,North America,2022,66
Lima,Latin America & the Caribbean,2022,62
Taipei,Asia & Australasia,2022,68
Luxembourg,Western Europe,2022,60
Perth,Asia & Australasia,2022,66
Harare,Middle East & Africa,2022,65
Rotterdam,Western Europe,2022,59
Nanjing,Asia & Australasia,2022,70
Wuxi,Asia & Australasia,2022,70
Prague,Eastern Europe,2022,57
Hanoi,Asia & Australasia,2022,65
Phnom Penh,Asia & Australasia,2022,65
Aguascalientes,Latin America & the Caribbean,2022,54
Dubai,Middle East & Africa,2022,63
Montreal,North America,2022,68
Tianjin,Asia & Australasia,2022,67
Wuhan,Asia & Australasia,2022,67
Hangzhou,Asia & Australasia,2022,68
Shenyang,Asia & Australasia,2022,68
Bratislava,Eastern Europe,2022,56
Guatemala city,Latin America & the Caribbean,2022,64
Calgary,North America,2022,65
Suzhou,Asia & Australasia,2022,66
Busan,Asia & Australasia,2022,59
Stockholm,Western Europe,2022,61
Guangzhou,Asia & Australasia,2022,66
Nantong,Asia & Australasia,2022,66
Port Moresby,Asia & Australasia,2022,62
Taichung,Asia & Australasia,2022,63
Kaohsiung,Asia & Australasia,2022,63
Toronto,North America,2022,60
Zhuhai,Asia & Australasia,2022,64
Ho Chi Minh city,Asia & Australasia,2022,61
Fuzhou,Asia & Australasia,2022,63
Athens,Western Europe,2022,55
Santiago,Latin America & the Caribbean,2022,56
Baku,Eastern Europe,2022,57
Qingdao,Asia & Australasia,2022,63
Lisbon,Western Europe,2022,54
Belgrade,Eastern Europe,2022,50
Warsaw,Eastern Europe,2022,50
Xian,Asia & Australasia,2022,61
Douala,Middle East & Africa,2022,52
Quito,Latin America & the Caribbean,2022,58
Bahrain,Middle East & Africa,2022,58
Sofia,Eastern Europe,2022,50
Dongguan,Asia & Australasia,2022,58
Jeddah,Middle East & Africa,2022,55
Doha,Middle East & Africa,2022,56
Dhaka,Asia & Australasia,2022,61
Manila,Asia & Australasia,2022,53
Jakarta,Asia & Australasia,2022,56
Bandar Seri Begawan,Asia & Australasia,2022,53
Monterrey,Latin America & the Caribbean,2022,45
Abidjan,Middle East & Africa,2022,50
Riyadh,Middle East & Africa,2022,53
Budapest,Eastern Europe,2022,44
Kuwait city,Middle East & Africa,2022,52
Al Khobar,Middle East & Africa,2022,52
Bogotá,Latin America & the Caribbean,2022,45
São Paulo,Latin America & the Caribbean,2022,49
Rio de Janeiro,Latin America & the Caribbean,2022,49
Muscat,Middle East & Africa,2022,52
Chiang Mai,Asia & Australasia,2022,50
Kuala Lumpur,Asia & Australasia,2022,53
Chóngqìng,Asia & Australasia,2022,54
Dakar,Middle East & Africa,2022,47
Nairobi,Middle East & Africa,2022,58
Casablanca,Middle East & Africa,2022,47
Moscow,Eastern Europe,2022,72
Caracas,Latin America & the Caribbean,2022,40
Panama city,Latin America & the Caribbean,2022,48
Bucharest,Eastern Europe,2022,42
Surabaya,Asia & Australasia,2022,45
Manaus,Latin America & the Caribbean,2022,42
St Petersburg,Eastern Europe,2022,66
Kathmandu,Asia & Australasia,2022,44
Penang,Asia & Australasia,2022,45
Mumbai,Asia & Australasia,2022,45
Johannesburg,Middle East & Africa,2022,47
Istanbul,Eastern Europe,2022,40
Colombo,Asia & Australasia,2022,38
Pretoria,Middle East & Africa,2022,44
Asunción,Latin America & the Caribbean,2022,45
Algiers,Middle East & Africa,2022,38
New Delhi,Asia & Australasia,2022,40
Cairo,Middle East & Africa,2022,47
Bangalore,Asia & Australasia,2022,38
Almaty,Eastern Europe,2022,34
Chennai,Asia & Australasia,2022,37
Buenos Aires,Latin America & the Caribbean,2022,43
Lagos,Middle East & Africa,2022,47
Ahmedabad,Asia & Australasia,2022,35
Lusaka,Middle East & Africa,2022,41
Tunis,Middle East & Africa,2022,30
Tashkent,Eastern Europe,2022,31
Karachi,Asia & Australasia,2022,32
Tripoli,Middle East & Africa,2022,22
Tehran,Middle East & Africa,2022,23
Damascus,Middle East & Africa,2022,11
Tel Aviv,Middle East & Africa,2021,106
Paris,Western Europe,2021,104
Singapore,Asia & Australasia,2021,104
Zurich,Western Europe,2021,103
Hong Kong,Asia & Australasia,2021,101
New York,North America,2021,100
Geneva,Western Europe,2021,99
Copenhagen,Western Europe,2021,97
Los Angeles,North America,2021,96
Osaka,Asia & Australasia,2021,94
Oslo,Western Europe,2021,93
Seoul,Asia & Australasia,2021,92
Tokyo,Asia & Australasia,2021,91
Vienna,Western Europe,2021,90
Sydney,Asia & Australasia,2021,90
Melbourne,Asia & Australasia,2021,88
Helsinki,Western Europe,2021,87
London,Western Europe,2021,87
Dublin,Western Europe,2021,86
Frankfurt,Western Europe,2021,86
Shanghai,Asia & Australasia,2021,86
Milan,Western Europe,2021,85
Shenzhen,Asia & Australasia,2021,85
San Francisco,North America,2021,84
Munich,Western Europe,2021,83
Wellington,Asia & Australasia,2021,83
Minneapolis,North America,2021,82
Auckland,Asia & Australasia,2021,82
Edinburgh,Western Europe,2021,82
Houston,North America,2021,81
Hamburg,Western Europe,2021,81
Tehran,Middle East & Africa,2021,81
Amman,Middle East & Africa,2021,80
Barcelona,Western Europe,2021,80
Nouméa,Asia & Australasia,2021,80
Madrid,Western Europe,2021,79
Brussels,Western Europe,2021,79
Brisbane,Asia & Australasia,2021,79
Beijing,Asia & Australasia,2021,79
Reykjavik,Western Europe,2021,79
Amsterdam,Western Europe,2021,78
Düsseldorf,Western Europe,2021,78
"Washington, DC",North America,2021,78
Seattle,North America,2021,78
Manchester,Western Europe,2021,78
Vancouver,North America,2021,78
Dalian,Asia & Australasia,2021,78
Adelaide,Asia & Australasia,2021,78
Stuttgart,Western Europe,2021,78
Rome,Western Europe,2021,77
Boston,North America,2021,77
San Diego,North America,2021,77
Pittsburgh,North America,2021,76
Berlin,Western Europe,2021,76
Taipei,Asia & Australasia,2021,76
Chicago,North America,2021,75
Lyon,Western Europe,2021,75
Nanjing,Asia & Australasia,2021,75
Wuxi,Asia & Australasia,2021,75
Hangzhou,Asia & Australasia,2021,74
Stockholm,Western Europe,2021,73
Tianjin,Asia & Australasia,2021,73
Shenyang,Asia & Australasia,2021,73
Wuhan,Asia & Australasia,2021,73
Bangkok,Asia & Australasia,2021,72
Abu Dhabi,Middle East & Africa,2021,71
Honolulu,North America,2021,71
Luxembourg,Western Europe,2021,71
Suzhou,Asia & Australasia,2021,71
Taichung,Asia & Australasia,2021,71
Montreal,North America,2021,70
Guangzhou,Asia & Australasia,2021,70
Perth,Asia & Australasia,2021,70
Kaohsiung,Asia & Australasia,2021,70
Nantong,Asia & Australasia,2021,70
Hanoi,Asia & Australasia,2021,69
Mexico city,Latin America & the Caribbean,2021,69
Portland,North America,2021,69
Saipan,North America,2021,69
Zhuhai,Asia & Australasia,2021,69
Lexington,North America,2021,68
Miami,North America,2021,68
Cleveland,North America,2021,68
Qingdao,Asia & Australasia,2021,68
Busan,Asia & Australasia,2021,68
Fort Lee,North America,2021,68
Fuzhou,Asia & Australasia,2021,68
Atlanta,North America,2021,67
Calgary,North America,2021,67
Indianapolis,North America,2021,67
Rotterdam,Western Europe,2021,67
Dhaka,Asia & Australasia,2021,66
Phnom Penh,Asia & Australasia,2021,66
Charlotte,North America,2021,66
