city,country,eiu_region,year,value,rank
Manila,Philippines,Asia & Australasia,2021,60,112
Al Khobar,Saudi Arabia,Middle East & Africa,2021,53,140
Muscat,Oman,Middle East & Africa,2021,54,134
Kuwait City,Kuwait,Middle East & Africa,2021,55,129
Douala,Cameroon,Middle East & Africa,2021,63,101
Sofia,Bulgaria,Eastern Europe,2021,55,129
Chiang Mai,Thailand,Asia & Australasia,2021,55,129
Abidjan,Côte d'Ivoire,Middle East & Africa,2021,57,120
Belgrade,Serbia,Eastern Europe,2021,57,120
Warsaw,Poland,Eastern Europe,2021,57,120
São Paulo,Brazil,Latin America & the Caribbean,2021,47,149
Rio de Janeiro,Brazil,Latin America & the Caribbean,2021,47,149
Panama City,Panama,Latin America & the Caribbean,2021,49,145
Lagos,Nigeria,Middle East & Africa,2021,44,154
Johannesburg,South Africa,Middle East & Africa,2021,54,134
Dakar,Senegal,Middle East & Africa,2021,54,134
Casablanca,Morocco,Middle East & Africa,2021,55,129
Cairo,Egypt,Middle East & Africa,2021,55,129
Asunción,Paraguay,Latin America & the Caribbean,2021,43,157
Monterrey,Mexico,Latin America & the Caribbean,2021,44,154
Surabaya,Indonesia,Asia & Australasia,2021,47,149
Mumbai,India,Asia & Australasia,2021,48,148
Penang,Malaysia,Asia & Australasia,2021,49,145
Bogotá,Colombia,Latin America & the Caribbean,2021,50,143
Kathmandu,Nepal,Asia & Australasia,2021,47,149
Pretoria,South Africa,Middle East & Africa,2021,52,142
Budapest,Hungary,Eastern Europe,2021,54,134
Buenos Aires,Argentina,Latin America & the Caribbean,2021,39,163
Manaus,Brazil,Latin America & the Caribbean,2021,41,159
Bucharest,Romania,Eastern Europe,2021,45,153
Lusaka,Zambia,Middle East & Africa,2021,39,163
Caracas,Venezuela,Latin America & the Caribbean,2021,40,161
New Delhi,India,Asia & Australasia,2021,43,157
Istanbul,Turkey,Western Europe,2021,49,145
Algiers,Algeria,Middle East & Africa,2021,38,165
Bangalore,India,Asia & Australasia,2021,41,159
Colombo,Sri Lanka,Asia & Australasia,2021,44,154
Chennai,India,Asia & Australasia,2021,40,161
Ahmedabad,India,Asia & Australasia,2021,37,166
Almaty,Kazakhstan,Eastern Europe,2021,35,168
Karachi,Pakistan,Asia & Australasia,2021,36,167
Tashkent,Uzbekistan,Eastern Europe,2021,30,170
Tunis,Tunisia,Middle East & Africa,2021,33,169
Tehran,Iran,Middle East & Africa,2021,81,30
Tripoli,Libya,Middle East & Africa,2021,23,171
Damascus,Syria,Middle East & Africa,2021,12,172
