city,country,eiu_region,year,value,rank
Almaty,Kazakhstan,Eastern Europe,2017,38,130
Karachi,Pakistan,Asia & Australasia,2017,46,126
Tashkent,Uzbekistan,Eastern Europe,2017,54,111
Tehran,Iran,Middle East & Africa,2017,49,120
Damascus,Syria,Middle East & Africa,2017,26,132
Singapore,Singapore,Asia & Australasia,2012,135,6
New York,US,North America,2012,100,27
Tel Aviv,Israel,Middle East & Africa,2012,98,34
Hong Kong,China,Asia & Australasia,2012,116,14
Los Angeles,US,North America,2012,100,27
Zurich,Switzerland,Western Europe,2012,131,7
Geneva,Switzerland,Western Europe,2012,124,10
San Francisco,US,North America,2012,83,64
Paris,France,Western Europe,2012,125,8
Copenhagen,Denmark,Western Europe,2012,114,15
Sydney,Australia,Asia & Australasia,2012,137,3
Houston,US,North America,2012,83,64
Oslo,Norway,Western Europe,2012,136,4
Minneapolis,US,North America,2012,86,57
Melbourne,Australia,Asia & Australasia,2012,136,4
Seattle,US,North America,2012,80,69
Seoul,South Korea,Asia & Australasia,2012,106,21
Shanghai,China,Asia & Australasia,2012,99,30
Amman,Jordan,Middle East & Africa,2012,88,54
Shenzhen,China,Asia & Australasia,2012,94,40
Washington DC,US,North America,2012,90,47
Boston,US,North America,2012,78,72
Vienna,Austria,Western Europe,2012,105,23
Vancouver,Canada,North America,2012,106,21
Pittsburgh,US,North America,2012,80,69
Chicago,US,North America,2012,96,38
Helsinki,Finland,Western Europe,2012,111,18
London,UK ,Western Europe,2012,112,16
Dublin,Ireland,Western Europe,2012,98,34
Frankfurt,Germany,Western Europe,2012,118,12
Milan,Italy,Western Europe,2012,102,26
Brisbane,Australia,Asia & Australasia,2012,117,13
Beijing,China,Asia & Australasia,2012,88,54
Reykjavik,Iceland,Western Europe,2012,90,47
Dalian,China,Asia & Australasia,2012,92,43
Tokyo,Japan,Asia & Australasia,2012,152,1
Wellington,New Zealand,Asia & Australasia,2012,108,20
Auckland,New Zealand,Asia & Australasia,2012,109,19
Adelaide,Australia,Asia & Australasia,2012,112,16
Honolulu,US,North America,2012,82,67
Moscow,Russia,Eastern Europe,2012,91,46
Osaka,Japan,Asia & Australasia,2012,146,2
Munich,Germany,Western Europe,2012,98,34
Mexico City,Mexico,Latin America & the Caribbean,2012,86,57
Hamburg,Germany,Western Europe,2012,96,38
Atlanta,US,North America,2012,71,92
Barcelona,Spain,Western Europe,2012,99,30
Madrid,Spain,Western Europe,2012,100,27
Amsterdam,Netherlands,Western Europe,2012,89,51
Dusseldorf,Germany,Western Europe,2012,93,42
Abu Dhabi,UAE,Middle East & Africa,2012,75,83
Lexington,US,North America,2012,78,72
Miami,US,North America,2012,84,61
Cleveland,US,North America,2012,72,90
Nouméa,New Caledonia,Asia & Australasia,2012,103,25
Brussels,Belgium,Western Europe,2012,99,30
Taipei,Taiwan,Asia & Australasia,2012,85,60
Montreal,Canada,North America,2012,99,30
Tianjin,China,Asia & Australasia,2012,77,79
Manchester,UK,Western Europe,2012,90,47
Rome,Italy,Western Europe,2012,97,37
Berlin,Germany,Western Europe,2012,94,40
Suzhou,China,Asia & Australasia,2012,78,72
Guangzhou,China,Asia & Australasia,2012,79,71
Perth,Australia,Asia & Australasia,2012,120,11
Detroit,US,North America,2012,73,86
St Petersburg,Russia,Eastern Europe,2012,86,57
Hanoi,Vietnam,Asia & Australasia,2012,71,92
Phnom Penh,Cambodia,Asia & Australasia,2012,64,112
Bangkok,Thailand,Asia & Australasia,2012,84,61
Guatemala City,Guatemala,Latin America & the Caribbean,2012,74,84
Lyon,France,Western Europe,2012,89,51
Qingdao,China,Asia & Australasia,2012,78,72
Dubai,UAE,Middle East & Africa,2012,70,95
Montevideo,Uruguay,Latin America & the Caribbean,2012,77,79
Lima,Peru,Latin America & the Caribbean,2012,73,86
Stockholm,Sweden,Western Europe,2012,104,24
Dhaka,Bangladesh,Asia & Australasia,2012,59,120
Ho Chi Minh City,Vietnam,Asia & Australasia,2012,70,95
Luxembourg,Luxembourg,Western Europe,2012,87,56
Toronto,Canada,North America,2012,90,47
Nairobi,Kenya,Middle East & Africa,2012,78,72
Quito,Ecuador,Latin America & the Caribbean,2012,65,107
Bahrain,Bahrain,Middle East & Africa,2012,65,107
San Jose,Costa Rica,Latin America & the Caribbean,2012,74,84
Prague,Czech Rep,Eastern Europe,2012,83,64
Santiago,Chile,Latin America & the Caribbean,2012,81,68
Jakarta,Indonesia,Asia & Australasia,2012,77,79
Doha,Qatar,Middle East & Africa,2012,62,115
Athens,Greece,Western Europe,2012,78,72
Jeddah,Saudi Arabia,Middle East & Africa,2012,57,122
Lisbon,Portugal,Western Europe,2012,78,72
Manila,Philippines,Asia & Australasia,2012,66,105
Kuala Lumpur,Malaysia,Asia & Australasia,2012,76,82
Bandar Seri Begawan,Brunei,Asia & Australasia,2012,69,102
Riyadh,Saudi Arabia,Middle East & Africa,2012,60,118
Kuwait City,Kuwait,Middle East & Africa,2012,65,107
Muscat,Oman,Middle East & Africa,2012,62,115
Al Khobar,Saudi Arabia,Middle East & Africa,2012,64,112
Warsaw,Poland,Eastern Europe,2012,71,92
Abidjan,Cote d'Ivoire,Middle East & Africa,2012,70,95
Belgrade,Serbia,Eastern Europe,2012,65,107
Sofia,Bulgaria,Eastern Europe,2012,67,103
Rio de Janeiro,Brazil,Latin America & the Caribbean,2012,84,61
Sao Paulo,Brazil,Latin America & the Caribbean,2012,92,43
Panama City,Panama,Latin America & the Caribbean,2012,56,123
Casablanca,Morocco,Middle East & Africa,2012,70,95
Cairo,Egypt,Middle East & Africa,2012,67,103
Dakar,Senegal,Middle East & Africa,2012,70,95
Johannesburg,South Africa,Middle East & Africa,2012,72,90
Lagos,Nigeria,Middle East & Africa,2012,66,105
Bogota,Colombia,Latin America & the Caribbean,2012,89,51
Mumbai,India,Asia & Australasia,2012,44,129
Asuncion,Paraguay,Latin America & the Caribbean,2012,60,118
Budapest,Hungary,Eastern Europe,2012,70,95
Pretoria,South Africa,Middle East & Africa,2012,70,95
Kathmandu,Nepal,Asia & Australasia,2012,50,127
Buenos Aires,Argentina,Latin America & the Caribbean,2012,73,86
Bucharest,Romania,Eastern Europe,2012,54,125
Lusaka,Zambia,Middle East & Africa,2012,73,86
Istanbul,Turkey,Western Europe,2012,92,43
New Delhi,India,Asia & Australasia,2012,48,128
Caracas,Venezuela,Latin America & the Caribbean,2012,126,9
Colombo,Sri Lanka,Asia & Australasia,2012,55,124
Algiers,Algeria,Middle East & Africa,2012,54,125
Almaty,Kazakhstan,Eastern Europe,2012,64,112
Karachi,Pakistan,Asia & Australasia,2012,44,129
Tashkent,Uzbekistan,Eastern Europe,2012,65,107
Tehran,Iran,Middle East & Africa,2012,58,121
Damascus,Syria,Middle East & Africa,2012,62,115
